Track ID,Area ID,Race Date,Race Year,Race Month,Race day,Race No,Horse Name,Horse Reference No,Jockey,Jockey ID,Trainer,Trainer ID,Owner,Owner ID,Sire,Dam,Dam Sire,Breeder,PP,Age,Sex,Med,Weight,ML Odds,Claim
GP,USA,"March 13, 2025",2025,3,13,2,Signifying Nothing (NY),11104868,E   Perez,129141,E L Dobles,957385,"Cedar Meadow, Inc.",799860,Central Banker,Time Counts,Closing Argument,"Cedar Meadow, Inc.",2,3,F,L,118,15/1,"$12,500"
FG,USA,"March 13, 2025",2025,3,13,1,Butcher Holler (KY),11213171,"M   Pedroza, Jr.",141890,"A M Stall, Jr.",13572,"Allied Racing Stable, LLC (Chester Thomas)",1913617,Dialed In,Upset Brewing,Justin Phillip,"Allied Racing Stable, LLC",3,3,C,L,122,5/1,"$15,000"
GP,USA,"March 13, 2025",2025,3,13,2,Royal Prado (KY),11105250,T   Gaffalione,154538,A   Sano,252575,Billions Stable and Cairoli Racing Stable (Domingo Spadaro),2342096,Union Rags,Conquest Tapdance,Tapit,Calumet Farm,3,3,F,L1,118,10/1,"$12,500"
GP,USA,"March 13, 2025",2025,3,13,2,Maxine Magic (KY),11120069,D   Davis,149157,M E Casse,20416,Gary Barber,874007,Cairo Prince,Maxine,Hat Trick (JPN,"PTK, LLC",4,3,F,L,118,9/2,"$12,500"
FG,USA,"March 13, 2025",2025,3,13,1,Lick Skillet (KY),11164513,K   Wellington,173157,C A Hartman,235027,"JD Thoroughbreds, LLC (Jackie Slawson), Joey Keith Davis and Larry J. Romero",2286204,Echo Town,Pure Ride,Simon Pure,Chesapeake Farm & Three Times A Charm,4,3,G,L,122,4/5,"$15,000"
GP,USA,"March 13, 2025",2025,3,13,2,Timber (KY),11150646,L   Saez,135658,R   Crichton,945912,Rohan Crichton and Paul J. Jones,2368661,Tom's d'Etat,Nadadora,Carson City,"Taylor Made Stallions, Inc. & SpringlandFarm",5,3,F,L,118,4/1,"$12,500"
GP,USA,"March 13, 2025",2025,3,13,2,Ole Red Wing (KY),11129093,J M Rios,86192,P R Walder,42662,Palm Beach Racing V LLC (Marc Haisfield),2294979,Air Force Blue,Hotty Toddy,Telling,Palm Beach Racing,6,3,F,L,118,20/1,"$12,500"
GP,USA,"March 13, 2025",2025,3,13,2,Chill Bean (FL),11100100,J   Alvarado,125057,P L Biancone,195754,Amy E. Dunne and Patrick L. Biancone Racing LLC (Patrick L. Biancone),2281365,Gunnevera,Where's Kate,Gone Astray,Amy E. Dunne & Ciaran G. Dunne,7,3,F,L1,118,10/1,"$12,500"
GP,USA,"March 13, 2025",2025,3,13,2,Shaboujee (KY),11169223,L   Panici,51790,J   Engler,268213,"Average Joe Racing Stables, Ltd. (Christopher Britton)",1978708,Union Rags,Stormy Antics,Stormy Atlantic,"Gary Broad - Walmac Farm, LLC",8,3,F,,118,20/1,"$12,500"
FG,USA,"March 13, 2025",2025,3,13,1,Friendly Charlie (KY),11154536,M   Murrill,151536,W B Calhoun,5663,Charles S. Giles,777637,Instagrand,My Girl,Scat Daddy,Charles S. Giles & Patrick H. Payne,5,3,C,L,122,5/1,"$15,000"
GP,USA,"March 13, 2025",2025,3,13,2,Blazin' Praline (MD),11124017,R   Maragh,109379,H   Collazo,121439,"Henco, Inc. and Israel Chavez",2363511,Eclipticalspraline,Sonny's Pharoah,Pioneerof the Nile,Maria Haire,9,3,F,L,118,30/1,"$12,500"
FG,USA,"March 13, 2025",2025,3,13,1,Not Behavin (KY),11107629,A   Concepcion,172497,W M Catalano,290,"Tommy Town Thoroughbreds, LLC (Tommy Stull)",1242544,American Pharoah,Hermajestycommands,War Front,"Tommy Town Thoroughbreds, LLC",6,3,G,L,122,4/1,"$15,000"
GP,USA,"March 13, 2025",2025,3,13,2,Splash Dive (NJ),11102498,J E Morelos,169518,J M Antonucci,273331,Isabelle de Tomaso,814734,Funtastic,Swimming (IRE),Holy Roman Emperor (IRE,Isabelle de Tomaso,10,3,F,L,118,5/1,"$12,500"
RP,USA,"March 13, 2025",2025,3,13,1,Straightaway Turnpike (OK),11443531,J   Hernandez-Gallardo,164554,M   Hurdle,248447,Carole Vann Stacy,1310031,Painted Turnpike,Ima Stormy Valentine,Red Storm Cat,"Stacy, Carole Vann",1,3,G,L,124,5/1,
FG,USA,"March 13, 2025",2025,3,13,2,Jewel Marie (LA),11009507,K   Wellington,173157,C   Ladner,951100,Chad Ladner,1385941,Whence,Annies Fuse,Lite the Fuse,Mr. & Mrs. Chad B. Ladner,1,4,F,,125,20/1,"$10,000"
GP,USA,"March 13, 2025",2025,3,13,2,Lovelady Bolt (KY),11122794,M J Husbands,171620,K   O'Connell,3007,Acclaimed Racing Stable (Michael Berry),776365,Bolt d'Oro,Rather Beautiful,Malibu Moon,Judy Hicks,11,3,F,L,1117,30/1,"$12,500"
GP,USA,"March 13, 2025",2025,3,13,2,Mean to Me (FL),11115548,E   Gonzalez,136260,M   Drexler,224281,Bruno Schickedanz,737934,Girvin,Aunt Tinsey,Uncle Mo,Cynthia Cauffman,12,3,F,L,118,7/2,"$12,500"
FG,USA,"March 13, 2025",2025,3,13,2,Eve Eve (LA),10945037,J A Guerrero,156867,J   Bernard,253845,Brandy Jones,1923691,Brody's Cause,Princess Perfect,Crafty Friend,"Robkat Racing Stable, LLC",2,4,F,L,125,6/1,"$10,000"
FG,USA,"March 13, 2025",2025,3,13,2,Tiz a Breakup (LA),10301869,S   Munoz,173237,A   Journet,973758,Arthur Glaude,1567000,Break Up,Tizwas,Tiznow,L. J. Thibodeaux Sr. & P. G. Thibodeaux,3,8,M,L,125,5/1,"$10,000"
GP,USA,"March 13, 2025",2025,3,13,3,Down in the Bayou (FL),10998004,E   Jaramillo,85995,O M Gonzalez,235191,Vicente Stella Stables LLC (Vicente Stella),1851212,Bahamian Squall,Bayou's Legacy,Hear No Evil,Jacks or Better Farm Inc.,1,4,F,L,122,2/1,"$8,000"
FG,USA,"March 13, 2025",2025,3,13,2,Shelbi's Star (LA),11043494,V   Del-Cid,170437,"E D Nelson, Jr.",233413,C. Rutledge Horne,877281,Ransom the Moon,Wifeinthefastlane,Tapit,Claude Rutledge Horne,4,4,F,L,125,3/1,"$10,000"
RP,USA,"March 13, 2025",2025,3,13,1,Cowgirl Chaos (OK),11463287,J R Ayala,155645,D   Keener,46030,Jeff Adams,1509319,Flying Cowboy 123,Jess Cuz,Freighttrain B,Jeff Adams,2,3,F,L,124,20/1,
GP,USA,"March 13, 2025",2025,3,13,3,Princess Miss Emil (NY),10964961,M J Husbands,171620,P   Lutchman,264746,"Anne-33, LLC (Anne Marie Lutchman)",2165079,Bellamy Road,Laughing Falcon,Aljabr,Pat Madden LLC,2,4,F,L,1157,4/1,"$8,000"
FG,USA,"March 13, 2025",2025,3,13,2,Miss Daahen (LA),10755947,J   Florian,174291,R C Richard,195804,Jose Salgado,1954105,Daaher,Don't Tell Veda,Yes It's True,Stephen Dowden,5,5,M,L,1205,20/1,"$10,000"
RP,USA,"March 13, 2025",2025,3,13,1,Rebecca Jean (),11464499,B   Candanosa,165289,M   Whitekiller,38552,Bryan L. Hawk,1644435,Crm Livewire,Fast Prize Molly,Pyc Paint Your Wagon,,3,3,F,L,124,5/2,
GP,USA,"March 13, 2025",2025,3,13,3,Vanishing Wish (FL),10966293,J M Rios,86192,R   Sierra,974200,"Just For Fun Stable, Inc. (Ruben Sierra)",2668273,Neolithic,Vanishing Lady,Northern Afleet,"Just For Fun Stable, Inc.",3,4,F,L,122,9/2,"$8,000"
RP,USA,"March 13, 2025",2025,3,13,1,Millers All Around (OK),11463057,C J Benn,151541,M D Vargas,975207,Jorge Arturo Turrubiartes,2012068,Awesome Chrome,Millies Rare Secret,No Secrets Here,"Dennison, George S",4,3,G,L,124,15/1,
GP,USA,"March 13, 2025",2025,3,13,3,One Smokin' Rita (CA),10818862,J E Morelos,169518,O M Gonzalez,235191,Vicente Stella Stables LLC (Vicente Stella),1851212,Smokem,Clara's Dream,Drosselmeyer,Terry C. Lovingier,4,5,M,L,122,9/5,"$8,000"
GP,USA,"March 13, 2025",2025,3,13,3,Our Fortune Cookie (FL),10763182,E   Perez,129141,S   Dye,234895,Kevin Frija,2315757,Hard Spun,Sweet Fortune,Candy Ride (ARG,Live Oak Stud,5,5,M,L,122,20/1,"$8,000"
FG,USA,"March 13, 2025",2025,3,13,2,Alessande (LA),10998024,C   McMahon,143666,C   Constantine,2410,Kendall H. Johnson,739326,Yankee Gentleman,Word of the Day,Due Date,Kendall Harlan Johnson,6,4,F,L,125,20/1,"$10,000"
GP,USA,"March 13, 2025",2025,3,13,3,Divine Encounter (FL),10576555,M   Nicholls,176060,L   Minott,277897,Daniella J. Philip,2230587,Prospective,Alhambra Circle,Rock Hard Ten,Peter Philip,6,7,M,L,1157,20/1,"$8,000"
GP,USA,"March 13, 2025",2025,3,13,3,Windrush (FL),10947031,E   Gonzalez,136260,L M Ramirez,277553,Luis M. Ramirez,1482493,Coal Front,Defying Gravity,Wildcat Heir,Tracy Pinchin & Kenneth D'Oyen,7,4,F,L,122,8/1,"$8,000"
FG,USA,"March 13, 2025",2025,3,13,2,Strummin Mary (LA),10748756,M   Rowland,168883,"W J Zeringue, Jr.",167298,Ronda Hutchinson,1849295,Time Bandit,Rose Guitar,Star Guitar,Oak Leaf Farm TCLP & Ronda DawnHutchinson,7,5,M,L,125,8/1,"$10,000"
FG,USA,"March 13, 2025",2025,3,13,2,One More Time Baby (LA),10983854,E   Nieves,147110,P G West,275715,Kim McGrath and Segundo E. Ortiz,2140767,Apriority,Anytime Baby,Reformer Rally,Kim McGrath & Segundo E. Ortiz,8,4,F,L,125,9/2,"$10,000"
RP,USA,"March 13, 2025",2025,3,13,1,Back Spin (OK),11425853,J   Pulido,154297,D   Keener,46030,Planefun LLC (Carl Duggins),1781972,Crm Livewire,Valdarama,Country Quick Dash,"Kelly, J Garvan/j Lloyd Yother",5,3,G,L,124,7/2,
RP,USA,"March 13, 2025",2025,3,13,1,Ivory Chick (OK),11463402,R   Cruz,168313,J R Ruiz,971283,Gavin McLane Billins,1807799,Ivory James,La Bella Rena,Sf Royal Quick Flash,"Billins Dvm, David E",6,3,F,L,124,20/1,
RP,USA,"March 13, 2025",2025,3,13,1,Lin (OK),11280589,O   Jaquez,174508,E   Snodgrass,974846,Jie Lin,2047944,Crm Livewire,Cashmere Queen,Sf Royal Quick Flash,"Lin, Jie",7,4,C,,126,12/1,
GP,USA,"March 13, 2025",2025,3,13,4,Greenfield Cougar (FL),11124498,T   Gaffalione,154538,D   Fawkes,152622,"Steel City Stable and David Fawkes Racing, Inc.",2358513,Breaking Lucky,Cape Trios,Cape Blanco (IRE,Deluca and Sons Stables Inc.,1,3,F,L1,118,6/1,
FG,USA,"March 13, 2025",2025,3,13,2,Brand Bois (LA),11159738,J P Vargas,144726,A   Journet,973758,Aaron Christopher Smith,2362348,Gemologist,Lavender Sea,Woodman,Robicheaux Ranch,9,4,F,L,125,10/1,"$10,000"
RP,USA,"March 13, 2025",2025,3,13,1,Favorite Turnpike (OK),11448975,R   Vega,168894,M   Whitekiller,38552,Matt Whitekiller,1249248,Painted Turnpike,Judys Cartel,Favorite Cartel,"Whitekiller, Matt",8,3,F,L,124,4/1,
GP,USA,"March 13, 2025",2025,3,13,4,Worth a Bundle (FL),11095777,L   Saez,135658,M J Trombetta,1898,Live Oak Plantation (Charlotte Weber),736381,Medaglia d'Oro,Slew of Money,Lonhro (AUS,Live Oak Stud,2,3,F,L1,118,8/1,
FG,USA,"March 13, 2025",2025,3,13,2,Cupie Cutie (LA),10594036,"J   Ramirez, Jr.",173888,J   Ramirez,968673,Erika N. Turrubiates Lopez,3079716,Star Guitar,Stingray City,Hard Spun,"Love Partnership Interests, L. P.",10,6,M,L,1205,5/1,"$10,000"
RP,USA,"March 13, 2025",2025,3,13,1,Vp Rocket Ryon (TX),11292255,"J A Mares, Jr.",168775,Z N Rios,945046,Victor R. Villarreal,1352270,Dos Poruno,Call Her Awesome,Awesome Chrome,Jnl Hrs Farm Llc/f Villarreal,9,4,C,L,126,8/1,
FG,USA,"March 13, 2025",2025,3,13,3,Jerry's Eighty (KY),10628169,E   Nieves,147110,J O Duhon,2388,"Dream Walkin' Farms, Inc. (Tonni Covel)",1225660,Palace,Cobb Sue,Tale of the Cat,"Dream Walkin' Farms, Inc.",1,6,G,L,120,6/1,"$30,000"
FG,USA,"March 13, 2025",2025,3,13,3,Mr McGregor (KY),10744997,"M   Pedroza, Jr.",141890,Y   Munoz,974477,Thomas E. Sherman,784406,Into Mischief,Sweet Bliss,Street Cry (IRE,"Wygod Equine, LLC",2,5,G,L,120,6/1,"$30,000"
FG,USA,"March 13, 2025",2025,3,13,3,Boss' Dialin In (KY),10593355,A   Suarez,147113,J O Duhon,2388,Robert Joseph and Dana Salome,2138926,Dialed In,Lady Vi,Tale of the Cat,"Redmon Farm, LLC",3,6,G,L,120,5/2,"$30,000"
RP,USA,"March 13, 2025",2025,3,13,1,Wickedsrare Form (TX),11499702,A S Martinez,175581,K F Griggs,29169,Oscar Moreno,1251692,Appsolutely Wicked,Ivory Form,Ivory James,Oscar Moreno,10,3,C,L,124,20/1,
GP,USA,"March 13, 2025",2025,3,13,4,Starship Vengeance (FL),11092607,E   Jaramillo,85995,H   Smullen,975930,Starship Stables (Laurence Leavy),840275,The Big Beast,Force of Passion,Limehouse,Emcee Stables LLC,3,3,F,L,118,10/1,
FG,USA,"March 13, 2025",2025,3,13,3,Peso in My Pocket (KY),10637251,S   Munoz,173237,Y   Munoz,974477,Yovani Rustrian Munoz,2114404,Secret Circle,Ready Set Dance,Ready's Image,"Dream Walkin' Farms, Inc.",4,6,G,L,120,5/1,"$30,000"
GP,USA,"March 13, 2025",2025,3,13,4,Song and a Breeze (FL),11095725,J   Ocasio,167815,M   Yates,7378,Stonehedge LLC (Marilyn Campbell),2057202,Cajun Breeze,Humorous Song,Jimmy Creed,Stonehedge LLC,4,3,F,L1,118,12/1,
GP,USA,"March 13, 2025",2025,3,13,4,La Cyber (FL),11136826,E   Perez,129141,J F D'Angelo,961370,"RM18 Stable, LLC (Isabel Montiel)",2326352,Seeking the Soul,Icy Tales,Tale of Ekati,Charles Fipke,5,3,F,L1,118,8/1,
FG,USA,"March 13, 2025",2025,3,13,3,Captivating Boy (FL),10817494,C   McMahon,143666,K   Segura,190106,Howard Romero,738561,Uncaptured,Lilly Marlene,Lost Soldier,Dee Ellen Cook & Suzette Parker,5,5,G,L,120,6/1,"$30,000"
RP,USA,"March 13, 2025",2025,3,13,2,Chew N Candy (OK),10973132,J   Vega,107631,M D Vargas,975207,Jose F. Zuniga,2123972,Send a Candy Guy,Its All About Chew,Royal Blue Chew Chew,Tonja A Wilson,1,5,M,L,126,9/2,"$35,000"
GP,USA,"March 13, 2025",2025,3,13,4,Souper Williwaw (FL),11123439,D   Davis,149157,M J Trombetta,1898,Live Oak Plantation (Charlotte Weber),736381,Hard Spun,Souper Striking,Brilliant Speed,Live Oak Stud,6,3,F,L1,118,9/2,
RP,USA,"March 13, 2025",2025,3,13,2,Rl Hondo (OK),10726498,C J Benn,151541,M   Whitekiller,38552,Robin Haggard,2064530,Flare for Ivory,Mondays Lady,Desirio,Ron Lyles,2,6,G,L,126,5/2,"$30,000"
GP,USA,"March 13, 2025",2025,3,13,4,Love Actually (FL),11120114,L   Dettori,4140,J F Orseno,2362,Enjoy The Ride LLC (Kristen Kline),1755384,Caravaggio,Deer Island Diva,Unbridled Mate,Sharon Rose & Peter Daly,7,3,F,L,118,2/1,
FG,USA,"March 13, 2025",2025,3,13,3,Burninhunkoflove (KY),10596948,J L Ortiz,147108,J   Sharp,951499,Baron Racing Stables (Dwight D. Baron),2310855,Munnings,Sicaria,Denman (AUS,James D. Osgood &Watershed Bloodstock LLC,6,6,G,L,122,3/1,"$30,000"
GP,USA,"March 13, 2025",2025,3,13,4,Shelovestotravel (FL),11119721,M A Vasquez,155088,J F D'Angelo,961370,Blu Boy Racing LLC (Neal Ross Heller) and Matty Dan Racing Stable (Gary Ferman),2302639,St Patrick's Day,Mo Than Happy,Uncle Mo,J D Farms,8,3,F,L1,118,10/1,
RP,USA,"March 13, 2025",2025,3,13,2,Double Dip (OK),10999214,J A Flores,145452,V   Ibarra,268820,Regina Laymon,2133485,Fdd Dynasty,Double Eagle,One Dashing Eagle,Regina Laymon,3,5,G,L,126,3/1,"$35,000"
FG,USA,"March 13, 2025",2025,3,13,3,Gilmore (KY),10802958,A   Concepcion,172497,J   Sharp,951499,Jeanine M. Cumiskey,1344020,Twirling Candy,My Surfer Girl,Henny Hughes,Dividing Ridge Farm,7,5,G,L,120,6/1,"$30,000"
RP,USA,"March 13, 2025",2025,3,13,2,Chunki Monkey (OK),11092998,R   Cruz,168313,B L Clay,970622,Hector C. Estrada,1460966,Im a Fancy Pyc,Com Callin,Volcom,Hector C  Estrada Sr,4,5,G,L,126,20/1,"$35,000"
CT,USA,"March 13, 2025",2025,3,13,1,Moonset (MD),10768291,S   Del Fabbro,176333,G   Galligan,963383,"William Marlow, Jr.",984698,Malibu Moon,Apple Pie Baby,Not For Love,Classic Thoroughbred 25,1,5,G,,11010,12/1,"$4,500"
GP,USA,"March 13, 2025",2025,3,13,4,Sunset Express (FL),11141554,J   Alvarado,125057,J   Campbell,957545,Curt Gielow and Richard Erickson,2962794,Khozan,Jelly Cable,Sky Mesa,Tom Bozarth,9,3,F,L,118,6/1,
CT,USA,"March 13, 2025",2025,3,13,1,Awesome Wind (FL),10997975,A   Bocachica,122956,A   Farrior,278193,Richard Burnsworth,1611979,Bahamian Squall,Awesome Hills,Awesome of Course,Jacks or Better Farm Inc.,2,4,G,L,122,5/2,"$5,000"
CT,USA,"March 13, 2025",2025,3,13,1,Order Ofthe Kettle (MD),10807458,A   Radcliffe,173857,K   Magee,165386,Super C Racing Inc. (Mike Coombs),2106918,Constitution,Meinertzhageni,Stormin Fever,The Elkstone Group LLC,3,5,G,L,1157,8/5,"$5,000"
CNL,USA,"March 13, 2025",2025,3,13,1,Tethered Soul (KY),11129942,P   Lopez,127153,F   Gutierrez,139806,Cypress Creek Equine,2228353,Laoban,Ascot Day,Street Sense,"Cypress Creek Equine, LLC",1,3,G,L1,122,5/2,"$50,000"
RP,USA,"March 13, 2025",2025,3,13,2,Corona Cobra (OK),10252382,M   Delgado,152142,J   Licona-Vazquez,957703,Rafael E. Haros,1560493,Corona Cartel,Klassy Chick,Valiant Hero,Bollenbach Farms Lp,5,9,G,L,126,5/1,"$35,000"
CNL,USA,"March 13, 2025",2025,3,13,1,Never Till Now (PA),11128834,C   Cedeno,124657,L A Ashby,115661,Lynnett Hershbell,1735250,Leofric,Wish I Understood,Concord Point,"Capopat, LLC",2,3,G,L1,122,10/1,"$50,000"
CT,USA,"March 13, 2025",2025,3,13,1,Change Your Luck (WV),10702539,F   Peltroche,107140,V   Peltroche,975036,Ashly Peltroche,2335499,Uncle Lino,Changingoftheguard,Changeintheweather,Francis Daniel III,4,6,G,L,124,6/1,"$5,000"
RP,USA,"March 13, 2025",2025,3,13,2,Get a Lota Tonight (TX),11157586,B   Quiroz,154895,V   Torres,955190,Angel Hugo Llanas,2335503,Lota Pyc,Saturday Night Ride,Mr Jess Perry,Whiting Ranch,6,4,F,L,126,12/1,"$30,000"
FG,USA,"March 13, 2025",2025,3,13,4,Southscape (LA),10983576,D   Cannon,156132,S   Wilson,158558,"Robin Lane Thoroughbreds, LLC (William D. Hughes, Michelle Hughes and Monia Bos)",2106811,Apriority,On Her Terms,Mizzen Mast,"Robin Lane Thoroughbreds, LLC",1,4,G,L,125,3/1,"$50,000"
CT,USA,"March 13, 2025",2025,3,13,1,Valhalla's Palace (WV),10977794,C   Maldonado,174172,R W Brown,4411,Nicole and Ronney W. Brown,2128067,Warrior's Reward,Ransom Due,Catienus,Mr. & Mrs. Ronney Brown,5,4,G,L,1195,8/1,"$5,000"
RP,USA,"March 13, 2025",2025,3,13,2,Carlitos Gamer (TX),11459126,J   Arellano,173683,M F Mata,962661,Cristian Leonardo Alcala,2203798,Tee Cos,Air Riot,Game Patriot,Ruben Marquez,7,3,G,L,124,8/1,"$30,000"
GP,USA,"March 13, 2025",2025,3,13,5,Triumphant Road (KY),10631148,E J Zayas,149772,"S A Joseph, Jr.",279149,GenStar Thoroughbreds (John Wentworth),2083446,Quality Road,Foxysox (GB),Foxhound,Williamson Racing LLC,1,6,G,L,125,5/1,"$17,500"
FG,USA,"March 13, 2025",2025,3,13,4,Toni's Inferno (LA),10966425,C J Hernandez,123498,S   Breaux,2532,Bienvenu Racing (Ellis Bienvenu),2017801,Flameaway,Toni's Day,Five Star Day,Ellis Bienvenu & Peggy Bienvenu,2,4,G,L,125,6/1,"$50,000"
RP,USA,"March 13, 2025",2025,3,13,2,Chloe for Gold (CA),10626451,R   Vega,168894,C   Clevenger,4456,Carl Clevenger,828840,Jesse James Jr,Sheza Hot Catch,Corona Caliente,Mesa Valley Farms Llc,8,7,M,L,126,10/1,"$30,000"
CNL,USA,"March 13, 2025",2025,3,13,1,Ecumenical (MD),11091911,W   Hamilton,161951,H I McMahon,245251,"SAB Stable, Inc.",2214362,Catholic Boy,Celestial Storm (IRE),Galileo (IRE,Ricky L. Buckley,3,3,C,L,122,6/1,"$50,000"
FG,USA,"March 13, 2025",2025,3,13,4,Blame Me Seriously (LA),10982143,C   McMahon,143666,S   Wilson,158558,Rebecca Wilson,970369,Blame,Serious Steam,Distorted Humor,Craig Drago,3,4,C,L,125,6/1,"$50,000"
RP,USA,"March 13, 2025",2025,3,13,2,Chew Blew by You (OK),10932604,E N Esqueda,166685,V   Torres,955190,Adan Lopez Padilla,2226518,Send a Candy Guy,Its All About Chew,Royal Blue Chew Chew,Tonja A Wilson,9,6,G,L,126,15/1,"$35,000"
FG,USA,"March 13, 2025",2025,3,13,4,Tensas Camp Road (LA),11133999,J A Torres,171770,A   Claire,971335,"Really Really Racing, LLC (Kenneth Dubois)",2363331,Vino Rosso,Harbor Princess,Boston Harbor,Curt Leake,4,3,C,L,117,6/1,"$50,000"
GP,USA,"March 13, 2025",2025,3,13,5,Sir Mendel (PA),10967498,L   Reyes,157934,F   Abreu,953769,Imaginary Stables (John Guarnere),2060469,Mendelssohn,Twirlin Curlin,Curlin,Diane Louise Manning,2,4,G,L,125,6/1,"$17,500"
CNL,USA,"March 13, 2025",2025,3,13,1,Forty Love (FL),11103147,M J Sanchez,151624,P   Eurton,531,"Exline-Border Racing, LLC, Scott Mawaka, Estate of Brerton C. Jones and Aaron Kennedy",2366503,Win Win Win,Lovemelikeyoudo,Harlan's Holiday,Brereton C. Jones,4,3,G,L,122,2/1,"$50,000"
RP,USA,"March 13, 2025",2025,3,13,3,Bv Make a Choice (OK),11187340,C R Esqueda,145041,F I Manriquez,975439,Fernando Manriquez,1626986,Kvn Corona,Eyesa First,Eyesa Special,Bella Vista Farms Llc,1,4,F,,126,5/2,
CT,USA,"March 13, 2025",2025,3,13,1,Strive for Stride (WV),10966943,M   Chilo,130573,T   Shanley,238911,Kendrick Bullard,2310403,Outwork,True Endeavor,After Market,"O'Sullivan Farms, LLC & Josh Vance",6,4,G,L,124,9/2,"$5,000"
RP,USA,"March 13, 2025",2025,3,13,3,Quick On the Dash (OK),10866939,C J Benn,151541,V   Torres,955190,Francisco Chipol-Hernandez,2344238,Jess B Quick,Roll Checker,Mr Cinnamon Roll,Jimmy Hood,2,5,G,L,126,10/1,"$10,000"
CT,USA,"March 13, 2025",2025,3,13,1,Remys Gunsmoke (WV),10660776,L C Reynolds,1559,T C Grams,119484,Grams Racing Stable LLC (Judith Grams),1849252,Fiber Sonde,Remy Doodles,Grand Slam,Timothy C. Grams & Judith A. Grams,7,6,G,L,124,10/1,"$5,000"
CNL,USA,"March 13, 2025",2025,3,13,1,Free Dance (NY),11133906,J   Toledo,150151,R   Handal,951500,Merrylegs Farm,1421702,Tapiture,Pirouette,Twirling Candy,Merrylegs Farm North LLC,5,3,C,L,122,7/5,"$50,000"
RP,USA,"March 13, 2025",2025,3,13,3,Storm of Coronas (OK),10742580,R   Cruz,168313,E N Rodriguez-Garcia,954408,Luis F. Caro-Delapena,2035371,Coronas Fast Dash,Get N Over Da Storm,Red Storm Cat,Luis Caro,3,6,G,L,126,12/1,"$10,000"
GP,USA,"March 13, 2025",2025,3,13,5,Bean Machine (KY),10933363,E   Jaramillo,85995,"E J Coletti, Jr.",37583,Longball Stables LLC and Whiskey Run Stables LLC,2361826,Twirling Candy,Little Nellie,Mizzen Mast,Dixiana Farms LLC,3,4,C,L,125,8/1,"$17,500"
